no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,Movable_assets,Immovable_assets
4,0,0,9900000,30000000,18,496,43100000,18400000
2,1,0,7200000,17000000,10,856,21800000,30800000
0,1,1,2700000,10100000,20,693,7300000,1900000
2,1,0,4400000,12000000,20,421,19100000,12000000
3,0,1,7900000,21200000,18,695,26700000,24400000
1,1,1,9700000,24700000,14,600,42200000,27600000
3,0,0,7700000,27700000,4,439,33300000,21400000
3,0,0,7800000,28700000,4,447,31400000,16700000
4,0,1,2000000,8000000,6,837,6800000,7700000
1,0,1,3100000,9200000,16,374,10600000,5900000
2,1,1,1200000,4500000,10,555,4100000,1200000
3,1,1,3800000,13700000,16,662,17700000,5200000
2,1,0,4400000,16500000,16,879,15700000,15300000
4,1,0,5300000,10700000,12,821,20200000,25600000
5,1,1,1100000,3900000,4,891,4300000,1300000
1,1,1,5600000,21000000,2,552,28200000,9500000
3,1,1,5300000,19500000,4,591,27700000,17900000
0,0,1,9000000,27800000,8,712,30200000,7600000
4,0,1,9700000,33300000,12,784,44400000,30400000
5,1,0,9900000,35800000,20,470,53800000,27900000
1,1,0,4600000,15200000,4,593,15600000,17600000
1,1,0,6600000,20700000,4,415,21600000,24700000
3,0,1,4700000,13200000,12,440,20900000,7300000
0,0,0,2800000,7300000,6,676,8900000,5700000
3,1,0,6400000,14400000,10,546,26300000,20600000
1,1,0,900000,3500000,18,395,4300000,3300000
1,0,1,7500000,19900000,10,669,25400000,10600000
0,1,0,6600000,25600000,8,718,30700000,24800000
3,0,1,6800000,19900000,10,516,34500000,22000000
4,1,0,2900000,11200000,10,744,8900000,10600000
4,0,1,2000000,7400000,20,596,7400000,2900000
4,1,0,9800000,32200000,18,593,48300000,9900000
0,1,1,4100000,12800000,8,799,12100000,4400000
5,0,1,1100000,3900000,2,538,5900000,1700000
5,1,0,1100000,3900000,20,858,4900000,4400000
5,1,0,5200000,11700000,6,658,17000000,13200000
5,0,1,5000000,14600000,18,509,24700000,14300000
4,0,1,3900000,11900000,10,855,13000000,14200000
5,0,0,4400000,15300000,4,401,19900000,5600000
1,0,1,7900000,29200000,2,663,38700000,31700000
5,0,0,7900000,17700000,2,559,34300000,22500000
2,1,1,2000000,6700000,14,638,7200000,5100000
2,0,0,200000,700000,8,851,1000000,600000
0,1,1,1500000,4100000,12,789,7100000,5200000
4,1,0,4200000,15500000,18,794,15600000,8000000
2,1,1,5800000,22500000,6,888,21900000,14500000
5,0,1,4200000,12300000,2,686,19800000,10700000
5,1,1,800000,2100000,12,363,4000000,2200000
5,0,0,500000,1200000,12,454,1300000,1900000
1,1,1,6800000,17000000,2,744,27200000,19400000
0,1,1,300000,800000,4,603,800000,1000000
4,0,0,2800000,6100000,18,415,10400000,6400000
3,0,0,1400000,3300000,2,652,5400000,2200000
4,0,0,6300000,17600000,6,612,26700000,19300000
3,0,1,3800000,15100000,20,540,12900000,10400000
5,1,0,5400000,21100000,12,661,25500000,26200000
0,0,1,200000,700000,10,587,600000,0
2,1,0,8100000,18500000,6,372,38900000,29300000
5,0,0,4700000,14400000,16,884,13100000,14300000
5,0,1,6900000,23900000,6,382,30400000,24000000
4,1,1,4400000,15000000,12,459,13800000,6500000
3,1,1,4900000,19000000,4,575,21100000,23200000
5,0,1,3800000,10300000,16,606,12600000,9600000
0,1,1,1900000,6300000,16,811,7000000,1200000
1,1,0,5300000,17800000,12,889,21700000,15800000
3,1,1,7000000,26100000,18,689,26400000,22900000
1,1,0,9900000,20700000,20,821,49200000,20900000
2,0,0,9600000,29900000,12,778,30700000,20000000
5,0,0,8500000,25400000,4,336,39600000,9700000
3,1,1,4000000,8600000,4,667,18800000,17800000
4,0,1,7000000,19600000,8,708,28800000,20200000
0,1,0,6200000,17300000,8,583,16900000,7600000
4,1,1,1400000,3700000,12,621,6900000,4000000
0,1,1,9400000,27000000,10,536,38600000,6100000
0,1,1,7000000,20900000,20,380,27300000,22600000
1,0,1,8000000,24600000,12,649,31000000,12400000
2,0,1,4800000,17500000,20,381,20400000,7300000
5,1,0,6200000,13700000,2,468,19400000,15600000
5,0,0,300000,900000,6,492,1100000,1100000
2,0,0,5500000,19000000,2,382,23300000,13500000
4,1,0,9400000,20200000,10,803,39200000,25800000
4,0,0,4700000,13100000,14,492,20500000,5500000
2,0,0,4300000,14700000,2,871,18300000,11400000
4,0,1,5500000,14800000,10,354,28900000,19400000
0,0,1,5600000,19300000,6,407,22600000,7000000
4,0,0,5800000,13500000,14,816,28300000,23100000
1,0,0,5100000,13800000,14,350,16200000,8400000
4,1,0,2000000,4700000,18,733,9800000,7400000
4,1,0,8600000,25100000,6,820,34300000,19400000
1,1,0,1500000,6000000,6,507,6700000,5300000
5,1,1,5400000,18800000,20,326,18000000,19800000
5,1,1,5200000,11800000,18,711,20000000,19400000
2,1,0,2200000,8700000,18,729,8900000,7200000
5,0,0,4100000,11000000,14,379,13900000,7900000
1,1,1,3900000,8700000,8,817,12800000,3400000
2,1,0,1400000,3100000,4,881,6100000,4100000
1,1,1,4700000,16000000,14,406,17600000,9300000
5,1,0,5000000,11200000,8,701,18600000,9600000
1,1,1,4300000,14100000,12,525,19600000,3200000
1,1,1,4400000,16600000,18,385,18500000,6100000
0,0,0,2500000,7800000,8,437,9100000,5800000
1,0,0,1200000,3400000,20,717,3400000,4600000
5,0,0,1300000,2700000,6,607,6300000,2300000
1,1,0,5800000,18700000,20,586,21600000,17100000
1,0,0,5100000,11800000,12,314,17300000,22300000
2,1,1,8000000,28100000,18,765,25900000,34500000
3,1,0,4100000,12200000,2,457,19000000,1200000
5,0,0,700000,1800000,10,650,1800000,1400000
2,1,0,2500000,9600000,4,636,9300000,1900000
0,0,1,7600000,17900000,16,788,33000000,9500000
0,1,0,9900000,22300000,20,613,28500000,37300000
3,1,0,4100000,8500000,2,833,19600000,12000000
2,0,0,6600000,23200000,16,555,26600000,16400000
1,1,0,2400000,5200000,2,371,9900000,9200000
2,1,0,600000,1100000,10,800,3200000,1400000
3,0,0,3200000,8200000,8,311,12300000,10500000
1,0,0,8200000,24000000,4,366,35600000,26100000
2,1,0,8000000,29300000,4,600,35900000,29700000
5,1,0,8300000,17700000,12,334,32300000,32800000
2,1,0,3600000,8000000,12,566,11600000,13500000
5,0,0,7400000,21000000,4,561,30300000,25100000
1,1,0,5400000,19400000,8,800,22500000,6900000
3,1,0,6600000,18800000,12,834,18500000,28100000
3,1,1,8000000,24400000,14,399,32200000,24500000
4,0,1,9700000,25000000,4,542,42700000,21800000
0,1,1,7600000,27600000,2,437,34400000,21200000
0,0,0,2000000,4700000,6,785,8400000,4700000
1,0,0,1000000,3600000,4,570,4700000,2300000
4,1,0,3300000,7000000,20,504,9800000,11400000
0,1,1,6800000,14400000,8,812,27500000,19700000
3,1,0,1400000,2700000,8,625,4400000,4900000
5,0,1,2000000,6300000,4,366,8200000,7500000
0,1,1,2600000,9900000,20,368,7200000,5100000
5,1,0,5100000,13500000,20,840,19200000,6700000
0,1,1,300000,1100000,8,789,1200000,500000
4,0,1,1200000,4600000,6,757,6300000,2100000
2,0,0,600000,2100000,16,425,2600000,1400000
3,0,1,7200000,20400000,10,558,37800000,13200000
5,0,0,7200000,17500000,4,380,23700000,2700000
4,1,1,1100000,2900000,4,554,5700000,3800000
3,1,0,3800000,11400000,4,323,14000000,9800000
0,1,1,9400000,34200000,10,512,38900000,28700000
0,1,0,3200000,11300000,6,484,10600000,9000000
3,0,1,6300000,23300000,4,347,29200000,30500000
4,0,0,1600000,4900000,8,685,5300000,5200000
2,1,0,4900000,16800000,10,480,15300000,11100000
5,0,0,4500000,10200000,12,726,21700000,11500000
0,0,0,9800000,38800000,8,652,35100000,42200000
3,0,1,8900000,22500000,12,887,43000000,34100000
5,1,1,9400000,35300000,16,302,49900000,16600000
2,0,0,7700000,15400000,18,524,27600000,18000000
0,1,0,6500000,24700000,6,554,32300000,3800000
0,1,1,9300000,32000000,8,438,47300000,31200000
0,1,0,5000000,10700000,16,726,20500000,2700000
3,0,1,1400000,3500000,12,610,5200000,1800000
4,0,0,3900000,11000000,2,786,12800000,9500000
1,1,1,4600000,10900000,12,463,17500000,2400000
4,1,0,5100000,19400000,8,755,20200000,2500000
2,0,1,8300000,30100000,16,636,40300000,10300000
1,0,1,9400000,21000000,12,443,28800000,16800000
1,0,1,5000000,12500000,20,604,19600000,4200000
1,0,1,9300000,19000000,14,689,44100000,35500000
5,1,0,1100000,3600000,12,315,4500000,2000000
4,1,1,1200000,4100000,16,585,3200000,1800000
0,1,1,9200000,34900000,4,702,33900000,32900000
2,1,1,4400000,16800000,4,307,15500000,20000000
0,1,1,5100000,12500000,18,778,18000000,4300000
2,0,1,5700000,15000000,20,382,17800000,18900000
4,1,1,8600000,26800000,12,802,43800000,10200000
2,0,0,1400000,4700000,4,355,5800000,2700000
0,1,1,3700000,13100000,14,385,14100000,17400000
3,0,0,4700000,9800000,14,444,19500000,8500000
5,1,0,700000,1400000,4,344,2900000,2300000
5,0,0,4000000,13700000,6,496,19500000,1300000
2,1,1,5000000,17600000,20,465,21700000,11400000
3,1,0,2800000,10600000,4,860,9600000,9900000
4,1,1,4400000,16600000,14,889,20800000,2200000
2,0,1,1200000,4600000,20,605,5200000,5100000
1,0,0,2900000,7600000,2,358,12200000,1500000
1,1,0,1400000,3300000,8,306,3500000,4000000
0,0,1,2500000,9100000,10,852,8900000,9700000
2,1,1,7700000,21000000,12,420,37900000,20400000
1,0,0,4100000,10300000,12,364,17700000,15600000
0,1,0,2100000,5900000,14,402,5800000,4400000
3,0,0,500000,2000000,12,890,2200000,1500000
5,1,1,8400000,31900000,10,605,31100000,29200000
4,1,0,5800000,14200000,20,535,24500000,14200000
0,1,1,900000,3600000,10,683,3900000,2100000
4,1,0,2800000,8300000,14,381,10600000,4300000
3,1,1,9900000,20400000,4,865,49300000,29900000
4,0,1,3500000,10700000,8,883,10400000,2500000
3,1,0,6400000,23000000,8,520,19800000,23500000
2,0,1,3300000,6700000,8,845,15500000,5900000
3,0,0,5600000,20300000,4,330,19500000,21200000
4,0,0,300000,1200000,18,544,900000,800000
0,1,1,2600000,5900000,6,572,11100000,8900000
4,0,1,1400000,4800000,6,411,6000000,1700000
0,0,1,9000000,32400000,10,895,30200000,22600000
4,1,1,600000,2100000,6,558,2500000,2300000
2,1,1,9300000,29000000,12,655,34800000,14700000
4,1,0,200000,700000,10,576,700000,600000
2,0,1,7500000,15100000,8,488,35200000,19800000
1,1,0,9800000,21300000,2,356,40300000,35300000
4,0,0,9400000,32200000,6,898,28100000,39400000
2,0,0,5700000,12000000,6,363,26000000,11000000
3,0,0,5600000,13400000,6,865,18300000,24600000
4,1,1,6700000,18400000,10,371,20100000,3300000
0,1,1,8400000,23000000,14,455,39200000,13800000
3,0,0,8100000,23900000,10,449,37200000,13200000
1,0,0,2300000,7200000,8,453,11500000,5100000
1,0,1,3700000,12600000,10,424,18600000,6500000
4,1,0,2400000,7000000,4,539,12500000,2300000
4,0,0,7800000,17300000,4,394,31500000,16700000
2,1,1,5100000,19700000,2,733,19100000,4500000
5,0,1,2400000,6800000,8,464,11400000,3200000
0,0,0,7400000,24100000,16,779,33800000,3700000
1,0,1,3800000,10000000,16,873,14300000,7900000
0,0,1,1000000,3200000,8,304,4400000,1100000
0,1,0,200000,800000,20,331,600000,300000
2,1,1,2800000,7000000,2,834,9400000,3400000
5,0,1,800000,2500000,12,403,4000000,500000
1,0,0,7000000,27100000,6,591,26400000,18900000
2,0,0,2900000,6600000,10,326,10800000,10800000
0,0,1,8300000,30000000,4,600,36800000,27100000
3,0,0,2800000,10900000,2,710,9200000,3000000
3,1,1,500000,1700000,2,811,1600000,1000000
3,1,1,8500000,30300000,12,762,24200000,16400000
2,0,1,7200000,23900000,4,559,28600000,16400000
4,1,0,9200000,27200000,12,873,45200000,6300000
5,0,0,5600000,18400000,8,386,16900000,18000000
5,0,0,7100000,14500000,14,664,24900000,18200000
4,0,1,900000,2800000,2,660,3300000,2600000
4,1,0,6100000,20900000,4,662,27400000,17200000
2,1,1,1300000,2700000,8,627,3900000,400000
4,1,1,5500000,20000000,8,666,25900000,8500000
1,1,1,3100000,11300000,14,824,15400000,9700000
3,1,1,5300000,19600000,2,433,13800000,24600000
5,0,0,6300000,20500000,14,515,27400000,7900000
2,1,0,6800000,21300000,20,658,35500000,14800000
1,1,0,4100000,15800000,12,431,20900000,17000000
0,0,1,9400000,30700000,10,477,33700000,18300000
4,1,0,2000000,4800000,8,302,6600000,2300000
4,1,0,1100000,2500000,4,603,4400000,3300000
1,1,0,6900000,20900000,4,574,30200000,5000000
2,1,1,2900000,7800000,18,588,15800000,500000
0,1,0,9100000,26400000,6,518,41000000,16900000
5,0,1,4100000,10100000,4,792,13500000,10500000
3,1,0,2300000,7400000,2,682,9700000,8900000
5,0,0,1000000,3000000,4,896,3100000,3900000
4,1,0,2100000,7700000,4,767,8200000,2900000
3,0,1,9700000,36000000,6,631,36000000,9000000
3,1,0,8000000,20100000,10,608,31300000,25300000
5,0,1,3800000,10100000,2,571,15900000,14000000
4,1,1,8000000,19200000,18,682,24300000,11400000
3,1,1,700000,1600000,18,303,2600000,1100000
3,0,0,9700000,37800000,12,700,37700000,19500000
0,0,1,5400000,12900000,16,355,25600000,14300000
0,0,1,400000,900000,2,855,1700000,400000
4,1,0,3600000,7500000,6,894,10200000,7600000
5,1,0,2700000,8700000,14,772,11300000,5000000
3,0,1,1000000,3500000,16,834,3700000,2500000
4,1,1,8500000,28900000,20,455,31900000,21000000
4,1,1,3100000,8200000,18,408,13900000,6700000
0,0,0,5300000,19500000,12,802,18400000,13100000
4,1,0,6500000,24000000,16,373,22300000,10700000
3,1,0,1800000,5600000,20,860,5200000,3600000
3,0,1,4300000,16600000,10,571,18600000,9400000
1,1,1,2300000,5500000,6,861,6400000,2800000
0,0,0,6500000,20200000,16,842,23900000,20500000
3,0,0,9200000,27100000,12,306,37600000,17300000
2,0,0,5400000,12500000,4,622,17200000,17300000
3,0,1,1400000,2700000,14,819,5300000,2700000
3,0,1,5600000,12700000,12,395,28400000,17500000
0,1,1,3900000,9600000,10,783,14800000,12000000
4,0,1,3500000,8900000,4,478,15100000,7900000
1,1,0,8800000,22200000,18,794,31500000,20300000
2,1,0,9700000,37700000,6,601,35600000,3400000
5,0,0,2900000,9800000,12,588,9700000,8200000
5,1,0,9700000,37000000,14,459,28400000,46600000
2,1,0,8900000,29200000,8,608,45200000,16000000
2,0,1,2700000,6400000,18,547,10900000,6700000
4,1,0,9200000,21700000,6,653,38000000,27300000
3,1,0,9700000,20600000,16,524,33500000,35300000
1,0,1,8700000,31700000,12,525,36400000,18000000
1,0,0,8700000,33200000,4,866,34200000,35500000
2,1,1,2300000,9000000,6,583,10300000,4900000
1,1,1,4300000,16300000,14,792,14200000,800000
3,1,0,7000000,18400000,18,837,21100000,10700000
1,1,0,4300000,16400000,20,397,15900000,12900000
5,0,0,3000000,8000000,6,333,10400000,3600000
0,0,0,5600000,11600000,12,466,29300000,22400000
5,0,0,9800000,37600000,18,319,25000000,24300000
5,1,0,6800000,20100000,14,839,23100000,2500000
5,0,1,8700000,26400000,10,318,32400000,14700000
1,0,0,8300000,24900000,10,642,27400000,26900000
2,1,0,6100000,15300000,2,799,23100000,12600000
5,1,1,9000000,19100000,14,540,23200000,12100000
1,0,0,6000000,21200000,12,549,23100000,26100000
1,1,0,7200000,24900000,14,666,22400000,15200000
